date,client,channel,category,sentiment,summary,owner
2025-10-06,Helios Retail Group,Display,viewability,Neutral,Requested higher viewability floor on run-of-network placements,Agency Desk
2025-10-13,Cobalt Automotive,Video,ad placement,Negative,Pre-roll appeared adjacent to sensitive news content; requested exclusion list,Mid-Market
2025-10-21,Meridian Media Agency,Display,brand suitability,Neutral,Asked for refreshed brand-suitability tiers for Q4 flights,Atlas Strategic
2025-10-28,Vireo Health & Beauty,Native,viewability,Positive,Pleased with native viewability improvements,Agency Desk
2025-11-03,Meridian Media Agency,Display,trust event,Negative,Queried whether logged-in targeting pools changed after the Trust Reset account resets,Atlas Strategic
2025-11-04,Helios Retail Group,Display,login reset noise,Negative,Placed November incremental bookings on hold pending brand-safety/privacy clarification,Agency Desk
2025-11-05,Pinnacle Telecom,Video,audience integrity,Neutral,Asked whether audience segments were impacted by the login resets,Atlas Strategic
2025-11-06,Garnet Grocery,Display,privacy questions,Negative,Procurement asked whether user data was exposed during the November resets,Mid-Market
2025-11-07,Northwind Financial,Native,privacy questions,Neutral,Compliance team asked for confirmation of data-handling continuity,Atlas Strategic
2025-11-10,BlueOrbit Travel,Display,trust event,Neutral,General privacy questions following the account-security communications,Agency Desk
2025-11-11,Cascade Beverages,Display,login reset noise,Neutral,Asked whether targeting pools changed after login resets; reassured,Mid-Market
2025-11-12,Aster Pharma,Native,audience integrity,Neutral,Regulated account requested assurance on identity-graph integrity,Atlas Strategic
2025-11-13,Solace Streaming,Video,ad placement,Negative,Content adjacency complaint on streaming inventory; exclusion applied,Mid-Market
2025-11-17,Cobalt Automotive,Display,viewability,Neutral,Routine viewability reporting query,Mid-Market
2025-11-19,Meridian Media Agency,Display,trust event,Neutral,Follow-up: satisfied with reassurance on addressable pools; bookings resumed,Atlas Strategic
2025-11-21,Vireo Health & Beauty,Native,privacy questions,Negative,Heard about account resets from competitor pitch; wants identity-graph reassurance,Agency Desk
2025-11-25,Garnet Grocery,Display,audience integrity,Neutral,Reassured on continuous audience refresh; pause likely seasonal,Mid-Market
2025-11-28,Pinnacle Telecom,Video,brand suitability,Positive,Approved updated brand-suitability tiers,Atlas Strategic
2025-12-02,Helios Retail Group,Display,login reset noise,Neutral,Restarted spend mid-month; clarification call closed out,Agency Desk
2025-12-04,Orchard Foods,Display,viewability,Positive,Pleased with holiday-peak viewability,Mid-Market
2025-12-09,BlueOrbit Travel,Display,trust event,Positive,Reassured on user-trust; expansion discussion reopened,Agency Desk
2025-12-12,Sterling Bank,Native,brand suitability,Neutral,Regulated brand-suitability review for January flights,Atlas Strategic
2025-12-16,Meridian Media Agency,Display,ad placement,Neutral,Routine exclusion-list update for holiday content,Atlas Strategic
2025-12-19,Cascade Beverages,Display,audience integrity,Positive,Confirmed targeting performance normalised; resumed full spend,Mid-Market
